Food_Category,Moisture_Content_pct,pH,Water_Activity,Protein_Content_pct,Fat_Content_pct,Storage_Temp_C,Relative_Humidity_pct,Packaging_Type,Preservative_Conc_pct,Shelf_Life_Days
Condiments,45.5,3.12,0.868,3.7,6.9,17.5,50.1,Standard Plastic,0.213,235.6
Bakery,40.2,6.29,0.853,9.6,,0.4,43.0,Standard Plastic,0.242,6.5
Produce,74.7,5.32,0.968,4.2,1.9,6.7,62.2,Vacuum Sealed,0.28,6.9
Bakery,27.5,7.1,0.859,8.1,18.5,12.7,86.0,Cardboard,0.005,3.3
Condiments,42.6,3.17,0.854,5.0,16.1,24.0,62.7,Glass,0.207,191.4
Snacks,8.3,6.24,0.513,6.3,15.3,23.7,50.6,Vacuum Sealed,0.084,140.2
Seafood,79.2,6.41,0.982,20.4,7.7,5.5,70.7,Standard Plastic,0.092,1.0
Beverages,92.6,4.77,0.966,0.9,1.9,21.1,77.0,Vacuum Sealed,0.053,37.6
Bakery,21.8,7.21,0.881,10.9,10.9,16.4,32.6,Standard Plastic,0.359,4.7
Bakery,25.0,5.83,0.849,11.2,15.3,19.8,56.8,Cardboard,0.262,5.7
Meat,70.7,5.74,0.979,24.4,5.8,6.6,70.4,Standard Plastic,0.059,2.0
Condiments,46.9,3.31,0.771,4.2,9.9,16.0,66.1,,0.34,550.2
Dairy,56.4,6.54,0.977,6.7,7.9,0.5,53.5,Vacuum Sealed,0.499,15.8
Dairy,47.8,4.91,0.987,6.3,7.2,2.4,50.7,Cardboard,0.339,9.0
Meat,58.0,6.21,0.977,24.9,3.4,3.8,76.1,Glass,0.321,2.8
Seafood,73.0,6.51,0.974,19.6,7.2,10.4,64.1,Cardboard,0.25,1.0
Snacks,7.8,6.17,0.354,7.9,32.1,28.0,46.3,Vacuum Sealed,0.204,454.7
Dairy,60.2,5.9,0.986,3.6,7.7,24.8,77.9,Vacuum Sealed,0.248,4.2
Produce,84.3,3.72,0.983,3.3,0.8,,82.0,Modified Atmosphere,0.436,7.3
Produce,94.8,4.55,0.961,3.5,1.8,20.2,72.4,Glass,0.144,2.3
Snacks,9.9,5.13,0.251,9.4,18.1,17.0,76.3,Cardboard,,114.9
Bakery,,,0.935,10.8,11.4,7.5,49.8,Glass,0.416,7.8
Dairy,71.3,5.08,0.976,6.9,3.8,24.3,35.5,,0.298,4.3
Condiments,57.9,,0.883,2.2,16.5,15.9,68.3,Cardboard,0.449,133.6
Meat,33.6,6.61,0.925,8.3,12.8,22.9,38.2,Standard Plastic,0.172,3.7
Beverages,93.5,,0.98,0.3,1.8,13.6,32.6,Cardboard,0.245,36.6
Beverages,98.5,6.89,0.976,0.6,1.6,4.9,43.9,Standard Plastic,0.203,46.7
Condiments,55.5,5.14,0.796,3.4,18.7,17.7,55.7,Glass,0.013,182.5
Beverages,98.6,6.64,0.962,1.8,1.0,18.5,51.3,Standard Plastic,0.458,37.6
Produce,84.7,,0.964,,0.5,11.3,81.8,Standard Plastic,0.048,4.7
Dairy,77.7,6.6,0.977,4.2,,10.8,89.6,Standard Plastic,0.372,2.3
Produce,91.3,,0.968,1.6,0.2,23.3,64.2,Standard Plastic,0.39,1.6
Meat,63.3,5.89,0.983,23.8,11.4,2.9,83.6,Cardboard,0.051,2.4
Condiments,56.1,4.65,0.782,,4.2,10.7,36.3,Standard Plastic,0.008,121.6
Seafood,,6.52,0.989,20.2,9.6,8.5,,Standard Plastic,0.333,1.0
Produce,78.3,4.62,,1.7,1.3,11.9,86.3,Vacuum Sealed,0.322,5.1
Condiments,60.5,4.51,0.713,3.1,6.8,16.7,35.2,,0.082,165.5
